0,1,2,3,4
"['psi plus, psi minus', 'phi plus, psi minus']","[(29.999999999999996, 72.01145915590261)]","[0.5, 0.5]","['W6', 0.03400297169386299, [2.056045858062363]]","['Wp1', -0.07776696430635899, [0.23915623192811458]]"
"['psi plus, psi minus', 'phi plus, psi minus']","[(29.999999999999996, 90.0)]","[0.4, 0.6]","['W2', 0.04999999999999996, [1.5614860535899955]]","['Wp1', -0.032782160337813074, [2.316556020196777]]"
"['psi plus, psi minus', 'phi plus, psi minus']","[(29.999999999999996, 90.0)]","[0.5, 0.5]","['W6', 0.02608901906526001, array([0.00116879])]","['Wp1', -0.09150635094574124, [0.7188008420239264]]"
"['psi plus, psi minus', 'phi minus, psi plus']","[(29.999999999999996, 54.022918311805235)]","[0.4, 0.6]","['W2', 0.028062084947088214, [2.9528986577958114]]","['Wp3', -0.11132960472355971, [0.41429775193567975]]"
"['psi plus, psi minus', 'phi minus, psi plus']","[(29.999999999999996, 72.01145915590261)]","[0.4, 0.6]","['W2', 0.04372912128031231, [1.2428190365832419]]","['Wp1', -0.034681936006480646, [1.8188739614981488]]"
"['psi plus, psi minus', 'phi minus, psi plus']","[(29.999999999999996, 90.0)]","[0.4, 0.6]","['W4', 0.04999999999999993, [2.9343754398346986]]","['Wp1', -0.043833631859069924, [1.1857497128318673]]"
"['psi plus, psi minus', 'phi plus, i psi plus']","[(29.999999999999996, 54.022918311805235)]","[0.4, 0.6]","['W2', 0.028062084947088173, [0.40744255790232775]]","['Wp2', -0.11132960472356687, [0.5015983546193072]]"
"['psi plus, psi minus', 'phi plus, i psi plus']","[(29.999999999999996, 72.01145915590261)]","[0.4, 0.6]","['W2', 0.043729121280312366, [3.124918775542856]]","['Wp1', -0.034681936006705424, [1.3122042894764996]]"
"['psi plus, psi minus', 'phi plus, i psi plus']","[(29.999999999999996, 90.0)]","[0.4, 0.6]","['W6', 0.04999999999999993, [2.6483150389207712]]","['Wp1', -0.04383363185941502, [2.56789429775384]]"
"['psi plus, psi minus', 'phi plus, i phi minus']","[(29.999999999999996, 36.03437746770785)]","[0.5, 0.5]","['W2', 0.034876007537744634, [0.15728570304719525]]","['Wp1', -0.027365578732835877, [0.9707762927666986]]"
"['psi plus, psi minus', 'phi plus, i phi minus']","[(29.999999999999996, 54.022918311805235)]","[0.4, 0.6]","['W2', 0.018745113470894928, [0.861129042918334]]","['Wp1', -0.03695639924826878, [2.631766110843581]]"
"['psi plus, psi minus', 'phi plus, i phi minus']","[(29.999999999999996, 54.022918311805235)]","[0.5, 0.5]","['W1', 0.034772409306302175, [0.023366195531325355]]","['Wp1', -0.02752627189444206, [1.9240582725561077]]"
"['psi plus, psi minus', 'phi plus, i phi minus']","[(29.999999999999996, 72.01145915590261)]","[0.4, 0.6]","['W1', 0.03342495151176854, [1.0944303163485232]]","['Wp1', -0.013370447127232635, [1.9727044059388064]]"
"['psi plus, psi minus', 'phi plus, i phi minus']","[(29.999999999999996, 90.0)]","[0.4, 0.6]","['W1', 0.0216117818600986, [0.07259984753399044]]","['Wp1', -0.027871926215099964, [2.3153194575588154]]"
"['psi plus, psi minus', 'phi plus, i phi minus']","[(45.0, 18.045836623610466)]","[0.5, 0.5]","['W2', 0.012297750403011497, [2.1823317456511657]]","['Wp1', -0.08616174518665537, [2.7761697569064494]]"
"['psi plus, psi minus', 'phi plus, i phi minus']","[(45.0, 36.03437746770785)]","[0.2, 0.8]","['W2', 0.019133582237832257, [1.5837632417584167]]","['Wp1', -0.2334207819987416, [1.8557857820971704]]"
"['psi plus, psi minus', 'phi plus, i phi minus']","[(45.0, 36.03437746770785)]","[0.3, 0.7]","['W2', 0.028700373363540935, [0.4645135827890511]]","['Wp1', -0.15793014478033623, [0.8576675387898597]]"
"['psi plus, psi minus', 'phi plus, i phi minus']","[(45.0, 36.03437746770785)]","[0.4, 0.6]","['W2', 0.03826716447567294, [1.7431952839813207]]","['Wp1', -0.09156801570458772, [1.2117710693786523]]"
"['psi plus, psi minus', 'phi plus, i phi minus']","[(45.0, 36.03437746770785)]","[0.5, 0.5]","['W2', 0.047833955595013494, [0.5250814382547849]]","['Wp1', -0.03590596184946543, [2.540285208035273]]"
"['psi plus, psi minus', 'phi plus, i phi minus']","[(45.0, 54.022918311805235)]","[0.1, 0.9]","['W2', 0.020626920078920873, [1.4836335719057372]]","['Wp1', -0.21598455140533362, [3.064915518561953]]"
"['psi plus, psi minus', 'phi plus, i phi minus']","[(45.0, 54.022918311805235)]","[0.2, 0.8]","['W2', 0.04125384015270103, [0.9666257011761811]]","['Wp1', -0.1422166221529429, [2.7022852992374657]]"
"['psi plus, psi minus', 'phi plus, i phi minus']","[(45.0, 54.022918311805235)]","[0.3, 0.7]","['W2', 0.061880760227920356, [0.5879225487049989]]","['Wp1', -0.07369871212179327, [2.940259050275081]]"
"['psi plus, psi minus', 'phi plus, i phi minus']","[(45.0, 54.022918311805235)]","[0.4, 0.6]","['W1', 0.05722438688950677, [0.41303644983264076]]","['Wp1', -0.011812291568759875, [1.3723202649320327]]"
"['psi plus, psi minus', 'phi plus, i phi minus']","[(45.0, 54.022918311805235)]","[0.5, 0.5]","['W2', 0.10313460038490753, [3.0247062824555138]]","['Wp1', -0.03611380391172513, [1.8895925625124863]]"
"['psi plus, psi minus', 'phi plus, i phi minus']","[(45.0, 72.01145915590261)]","[0.1, 0.9]","['W1', 0.021996764697590456, [0.07406666628031787]]","['Wp1', -0.08982727028661386, [1.2363245914602108]]"
