0,1,2,3,4
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 18.045836623610466)]","[0.5, 0.5]","['W2', 0.1725555648446516, [0.0353008130686238]]","['Wp1', -0.08616174518664392, [1.3161693436724666]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 36.03437746770785)]","[0.5, 0.5]","['W1', 0.04783395559458061, [1.2756452490853027]]","['Wp1', -0.03590596184946519, [1.7637520068990242]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 54.022918311805235)]","[0.5, 0.5]","['W2', 0.047686989062941, [0.8979705117625323]]","['Wp1', -0.0361138039117251, [0.4328825961979763]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(45.0, 72.01145915590261)]","[0.5, 0.5]","['W2', 0.012220424831878466, [2.943338779341138]]","['Wp1', -0.08627110005806542, [1.2226452370556207]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(59.99999999999999, 0.057295779513082325)]","[0.5, 0.5]","['W1', 0.12499999999999999, [0.9884233680856681]]","['Wp1', -0.08071877214641329, [2.3661290208594266]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(59.99999999999999, 36.03437746770785)]","[0.5, 0.5]","['W1', 0.03487600755584643, [2.065840732618289]]","['Wp1', -0.027365578732835856, [0.07821697252630212]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(59.99999999999999, 54.022918311805235)]","[0.5, 0.5]","['W1', 0.07166861127612428, [1.6847209712377376]]","['Wp1', -0.02752627189443467, [2.695350375065266]]"
"['phi plus, phi minus', 'psi plus, i psi minus']","[(59.99999999999999, 72.01145915590261)]","[0.5, 0.5]","['W1', 0.10824085488188234, [2.884550319953486]]","['Wp1', -0.0669127475358085, [2.974496200768459]]"
"['phi plus, phi minus', 'phi minus, i psi minus']","[(59.99999999999999, 54.022918311805235)]","[0.4, 0.6]","['W1', 0.028062084947088256, [2.798940540582668]]","['Wp2', -0.11132960472356596, [1.4979957887178723]]"
"['phi plus, phi minus', 'phi minus, i psi minus']","[(59.99999999999999, 72.01145915590261)]","[0.4, 0.6]","['W1', 0.04372912128031403, [1.4898014447794765]]","['Wp1', -0.03468193600623838, [1.7146784716588035]]"
