states,eta-chi,probabilities,W,Wp,Wpp
"['HA_iVD', 'HD_VA']","(1.5707963267948966, 0.7858981633974483)","[0.2, 0.8]","['W1', 0.06980566045239198, [2.0513747690924777]]","['W_pp_b2', 3.412984009087145e-05, [0.36689881715498834]]","[3.412984009087145e-05, 'W_pp_b2', [0.36689881715498834]]"
"['HA_iVD', 'HD_VA']","(1.5707963267948966, 1.5707963267948966)","[0.2, 0.8]","['W4', 0.19999999999999987, [0.7700028017328845]]","['W_pp_a2', 1.9999333342222118e-05, [1.954146126351601]]","[1.9999333342222118e-05, 'W_pp_a2', [1.954146126351601]]"
"['HA_iVD', 'HD_VA']","(0.7853981633974483, 0.7858981633974483)","[0.4, 0.6]","['W1', 0.05967462070345168, [2.901772834326438]]","['W_pp_b2', 6.826278274281404e-05, [3.012424906548783]]","[6.826278274281404e-05, 'W_pp_b2', [3.012424906548783]]"
"['HA_iVD', 'HD_VA']","(0.7853981633974483, 1.5707963267948966)","[0.4, 0.6]","['W5', 0.14999999999999988, [2.178390735982617]]","['W_pp_b2', 3.999111915413927e-05, [1.6267927880167108]]","[3.999111915413927e-05, 'W_pp_b2', [1.6267927880167108]]"
"['HA_iVD', 'HD_VA']","(1.5707963267948966, 0.7858981633974483)","[0.4, 0.6]","['W2', 0.059674620703452086, [0.8142217447572061]]","['W_pp_b2', 6.8257996662337e-05, [2.651977094975649]]","[6.8257996662337e-05, 'W_pp_b2', [2.651977094975649]]"
"['HA_iVD', 'HD_VA']","(1.5707963267948966, 1.5707963267948966)","[0.4, 0.6]","['W1', 0.1499999999999999, [1.1124730716255653]]","['W_pp_a2', 3.9998666684444235e-05, [0.3316804836375409]]","[3.9998666684444235e-05, 'W_pp_a2', [0.3316804836375409]]"
"['phi plus, phi minus', 'HR_iVL']","(0.7853981633974483, 0.7858981633974483)","[0.2, 0.8]","['W2', 0.05864937211553203, [2.6990785886042996]]","['W_pp_a2', 1.706555594839873e-05, [1.7787236597975518]]","[1.706555594839873e-05, 'W_pp_a2', [1.7787236597975518]]"
"['phi plus, phi minus', 'HR_iVL']","(0.7853981633974483, 1.5707963267948966)","[0.2, 0.8]","['W2', 0.19999999999999993, [0.05161775916455857]]","['W_pp_a2', 1.0003348828686936e-05, [0.18614613446328596]]","[1.0003348828686936e-05, 'W_pp_a2', [0.18614613446328596]]"
"['phi plus, phi minus', 'HR_iVL']","(0.7853981633974483, 0.7858981633974483)","[0.4, 0.6]","['W2', 0.043987029086649025, [1.7594343197090232]]","['W_pp_b2', 3.413113936950964e-05, [1.7400159505858996]]","[3.413113936950964e-05, 'W_pp_b2', [1.7400159505858996]]"
"['phi plus, phi minus', 'HR_iVL']","(0.7853981633974483, 1.5707963267948966)","[0.4, 0.6]","['W4', 0.14999999999999988, [2.545310184605379]]","['W_pp_a2', 1.999956730946219e-05, [1.28431711696818]]","[1.999956730946219e-05, 'W_pp_a2', [1.28431711696818]]"
"['phi plus, phi minus', 'HD_VA']","(0.7853981633974483, 0.7858981633974483)","[0.2, 0.8]","['W2', 0.05864937211553204, [1.9082934018180209]]","['W_pp_a2', 1.706554907204809e-05, [2.346664354378509]]","[1.706554907204809e-05, 'W_pp_a2', [2.346664354378509]]"
