states,eta-chi,probabilities,W,Wp
"['HL_VR', 'psi plus, psi minus']","[0.4, 0.6]","[45.0, 18.045836623610466]","['W1', 1.9647404735434124, [1.797033207622845]]","['Wp2', -5.517289018226894, [0.3283183508148331]]"
"['HL_VR', 'psi plus, psi minus']","[0.4, 0.6]","[45.0, 36.03437746770785]","['W1', 0.08498720849384345, [1.2635828836095002]]","['Wp1', -2.0885242975923024, [1.6589527706604283]]"
"['HL_VR', 'psi plus, psi minus']","[0.5, 0.5]","[45.0, 18.045836623610466]","['W1', 1.363593735044612, [1.0476349407982677]]","['Wp2', -4.628065772314394, [2.6160419294079023]]"
"['HL_VR', 'psi plus, psi minus']","[0.5, 0.5]","[45.0, 36.03437746770785]","['W1', 0.4649085644401135, [1.1407230648847002]]","['Wp1', -1.755764426702729, [2.828181254879765]]"
"['HL_VR', 'HR_VL']","[0.1, 0.9]","[45.0, 0.057295779513082325]","['W1', 0.017569724478365245, [2.603990592178072]]","['Wp2', -17.59621657319525, [1.938564011675616]]"
"['HL_VR', 'HR_VL']","[0.1, 0.9]","[45.0, 18.045836623610466]","['W1', 4.632534145702776, [1.3192905678139253]]","['Wp2', -9.472850105592116, [2.576211834783863]]"
"['HL_VR', 'HR_VL']","[0.1, 0.9]","[45.0, 36.03437746770785]","['W1', 7.543842561103544, [2.8388981167834086]]","['Wp2', -2.865052682162248, [1.052145137932022]]"
"['HL_VR', 'HR_VL']","[0.1, 0.9]","[45.0, 54.022918311805235]","['W2', 9.266207141891563, [0.9646710931719624]]","['Wp2', -2.863544838472607, [3.015898628052513]]"
"['HL_VR', 'HR_VL']","[0.1, 0.9]","[45.0, 72.01145915590261]","['W1', 10.315226411311542, [1.7246596794243423]]","['Wp2', -8.981654592596533, [2.942960715598463]]"
"['HL_VR', 'HR_VL']","[0.1, 0.9]","[45.0, 90.0]","['W1', 10.994968917586053, [1.7910055306173436]]","['Wp2', -15.423035092903131, [0.8848291073922868]]"
"['HL_VR', 'HR_VL']","[0.2, 0.8]","[45.0, 0.057295779513082325]","['W1', 0.014733085759491171, [1.8995727117543024]]","['Wp2', -16.111876496125724, [1.4908989644749693]]"
"['HL_VR', 'HR_VL']","[0.2, 0.8]","[45.0, 18.045836623610466]","['W2', 3.7634683432661267, [0.3414530142482322]]","['Wp2', -8.298572540824814, [0.5689197487006019]]"
"['HL_VR', 'HR_VL']","[0.2, 0.8]","[45.0, 36.03437746770785]","['W1', 6.053006635505202, [2.664372592601234]]","['Wp2', -2.4299703069788485, [1.0228815827189761]]"
"['HL_VR', 'HR_VL']","[0.2, 0.8]","[45.0, 54.022918311805235]","['W1', 7.432504928290922, [2.6264317375618935]]","['Wp2', -2.423795774914504, [1.4594404472005225]]"
"['HL_VR', 'HR_VL']","[0.2, 0.8]","[45.0, 72.01145915590261]","['W2', 8.304405372050693, [2.3318854943759515]]","['Wp2', -7.713696660655267, [0.5477174279342854]]"
"['HL_VR', 'HR_VL']","[0.2, 0.8]","[45.0, 90.0]","['W1', 8.889785965624254, [1.758404170916736]]","['Wp2', -13.385907920067183, [2.5341241564754147]]"
"['HL_VR', 'HR_VL']","[0.3, 0.7]","[45.0, 0.057295779513082325]","['W2', 0.011880491339731236, [1.1395677895748777]]","['Wp2', -14.466266633976328, [1.1049474693113872]]"
"['HL_VR', 'HR_VL']","[0.3, 0.7]","[45.0, 18.045836623610466]","['W1', 2.948623414593226, [1.0763446961879264]]","['Wp2', -7.030971140565089, [0.3715447856511753]]"
"['HL_VR', 'HR_VL']","[0.3, 0.7]","[45.0, 36.03437746770785]","['W2', 4.6968307777659195, [0.844955651123358]]","['Wp2', -1.9827838038068377, [0.985682448319138]]"
"['HL_VR', 'HR_VL']","[0.3, 0.7]","[45.0, 54.022918311805235]","['W1', 5.7658200866301, [0.8647994542518106]]","['Wp2', -1.9734912467735364, [3.0837767931822677]]"
"['HL_VR', 'HR_VL']","[0.3, 0.7]","[45.0, 72.01145915590261]","['W2', 6.460030625917427, [1.5104483103470994]]","['Wp2', -6.382182130820743, [2.3523288295427522]]"
"['HL_VR', 'HR_VL']","[0.3, 0.7]","[45.0, 90.0]","['W2', 6.93846580120326, [2.511618655367579]]","['Wp2', -11.212849195227152, [2.541865945876999]]"
"['HL_VR', 'HR_VL']","[0.4, 0.6]","[45.0, 18.045836623610466]","['W2', 2.2079388227506116, [1.71826091563869]]","['Wp2', -5.703250460186979, [0.2233854598206685]]"
"['HL_VR', 'HR_VL']","[0.4, 0.6]","[45.0, 36.03437746770785]","['W1', 3.4906252576960335, [1.3122375092844307]]","['Wp2', -1.541105173508331, [2.155996728364111]]"
"['HL_VR', 'HR_VL']","[0.4, 0.6]","[45.0, 54.022918311805235]","['W1', 4.284283295689019, [2.5274001881190515]]","['Wp2', -1.5304958686170784, [0.9192257458118528]]"
"['HL_VR', 'HR_VL']","[0.4, 0.6]","[45.0, 72.01145915590261]","['W1', 4.810199469100078, [3.139287163733862]]","['Wp2', -5.034896319425849, [2.590832791993932]]"
"['HL_VR', 'HR_VL']","[0.4, 0.6]","[45.0, 90.0]","['W1', 5.179803759795138, [1.0727533186335827]]","['Wp2', -8.971567806422907, [2.291131658099789]]"
"['HL_VR', 'HR_VL']","[0.5, 0.5]","[45.0, 18.045836623610466]","['W1', 1.557210535416909, [2.795351818804943]]","['Wp2', -4.3584619194191925, [1.2723402530722707]]"
"['HL_VR', 'HR_VL']","[0.5, 0.5]","[45.0, 36.03437746770785]","['W1', 2.4475593205811412, [1.7499028593840507]]","['Wp2', -1.1235203741161113, [1.2696988399916038]]"
"['HL_VR', 'HR_VL']","[0.5, 0.5]","[45.0, 54.022918311805235]","['W1', 3.0036328931666896, [3.1064117189480505]]","['Wp2', -1.1133667665080027, [0.5318988837807699]]"
"['HL_VR', 'HR_VL']","[0.5, 0.5]","[45.0, 72.01145915590261]","['W2', 3.3777241872562724, [2.190096133804559]]","['Wp2', -3.7272368726029232, [1.1786903681746412]]"
"['HL_VR', 'HR_VL']","[0.5, 0.5]","[45.0, 90.0]","['W1', 3.6445097640688497, [3.1191565274438164]]","['Wp2', -6.746075574021572, [0.8843565763375123]]"
"['HL_VR', 'HR_iVL']","[0.1, 0.9]","[45.0, 18.045836623610466]","['W1', 2.5838455870411097, [2.12966697232616]]","['Wp2', -9.472850105592121, [0.31792327102660334]]"
"['HL_VR', 'HR_iVL']","[0.1, 0.9]","[45.0, 36.03437746770785]","['W1', 4.888456884774849, [1.8013084715936454]]","['Wp2', -2.865052682162247, [2.1157186120982323]]"
"['HL_VR', 'HR_iVL']","[0.2, 0.8]","[45.0, 18.045836623610466]","['W2', 2.13377026581289, [0.9756546986618807]]","['Wp2', -8.298572540824809, [0.5637975815534453]]"
"['HL_VR', 'HR_iVL']","[0.2, 0.8]","[45.0, 36.03437746770785]","['W2', 3.9999825648319773, [0.01670424789742496]]","['Wp2', -2.4299703069788476, [0.7031976173071512]]"
"['HL_VR', 'HR_iVL']","[0.3, 0.7]","[45.0, 18.045836623610466]","['W2', 1.6955699763309586, [1.2763162815392917]]","['Wp2', -7.030971140565096, [2.6090263854162483]]"
"['HL_VR', 'HR_iVL']","[0.3, 0.7]","[45.0, 36.03437746770785]","['W1', 3.1527765836423756, [3.102064679917109]]","['Wp2', -1.9827838038068377, [0.8439537693310506]]"
"['HL_VR', 'HR_iVL']","[0.4, 0.6]","[45.0, 18.045836623610466]","['W1', 1.2848675790646933, [1.0548102003361004]]","['Wp2', -5.70325046018697, [2.197277986046691]]"
"['HL_VR', 'HR_iVL']","[0.4, 0.6]","[45.0, 36.03437746770785]","['W1', 2.372458361343099, [1.7171924443033846]]","['Wp2', -1.5411051735083325, [1.7082565356490447]]"
"['HL_VR', 'HR_iVL']","[0.5, 0.5]","[45.0, 18.045836623610466]","['W1', 0.9151140636292356, [1.726755819570103]]","['Wp2', -4.358461919419192, [2.2309838434825187]]"
"['HL_VR', 'HR_iVL']","[0.5, 0.5]","[45.0, 36.03437746770785]","['W1', 1.679884059499975, [2.71611292141464]]","['Wp2', -1.1235203741161095, [1.309012987255686]]"
"['HL_VR', 'HL_iVR']","[0.1, 0.9]","[45.0, 18.045836623610466]","['W5', 2.583845587041108, [2.832991095143937]]","['Wp2', -17.62485546661837, [2.4234442577652113]]"
"['HL_VR', 'HL_iVR']","[0.1, 0.9]","[45.0, 36.03437746770785]","['W1', 4.888456884774844, [1.9973654307669104]]","['Wp2', -17.624855466618367, [1.4753036658495338]]"
"['HL_VR', 'HL_iVR']","[0.1, 0.9]","[45.0, 54.022918311805235]","['W6', 7.022653367975049, [0.4866150544319621]]","['Wp2', -17.62485546661837, [2.3065445569999166]]"
"['HL_VR', 'HL_iVR']","[0.1, 0.9]","[45.0, 72.01145915590261]","['W2', 9.046130854072947, [1.5316509209822275]]","['Wp2', -17.624855466618364, [2.827451599895897]]"
"['HL_VR', 'HL_iVR']","[0.1, 0.9]","[45.0, 90.0]","['W2', 10.994968917586052, [2.646672345057477]]","['Wp2', -17.624855466618367, [2.036633534627284]]"
"['HL_VR', 'HL_iVR']","[0.2, 0.8]","[45.0, 18.045836623610466]","['W6', 2.1337702658127538, [2.964512850931595]]","['Wp2', -16.140512045239255, [1.7699390844278964]]"
"['HL_VR', 'HL_iVR']","[0.2, 0.8]","[45.0, 36.03437746770785]","['W5', 3.999982564831941, [2.2728240792584344]]","['Wp2', -16.140512045239262, [1.414226565785842]]"
"['HL_VR', 'HL_iVR']","[0.2, 0.8]","[45.0, 54.022918311805235]","['W2', 5.713547497853782, [2.549612460141449]]","['Wp2', -16.140512045239255, [1.8565765275039392]]"
"['HL_VR', 'HL_iVR']","[0.2, 0.8]","[45.0, 72.01145915590261]","['W6', 7.332540283937629, [1.509083873475477]]","['Wp2', -16.140512045239255, [1.1680780486736901]]"
"['HL_VR', 'HL_iVR']","[0.2, 0.8]","[45.0, 90.0]","['W1', 8.889785965624254, [2.2134791920761026]]","['Wp2', -16.14051204523925, [0.9689812065828974]]"
"['HL_VR', 'HL_iVR']","[0.3, 0.7]","[45.0, 18.045836623610466]","['W2', 1.6955699763309584, [1.2308144820498625]]","['Wp2', -14.494897962848048, [0.33038913377358087]]"
"['HL_VR', 'HL_iVR']","[0.3, 0.7]","[45.0, 36.03437746770785]","['W6', 3.152776583642366, [1.2435838857852284]]","['Wp2', -14.494897962848038, [1.5849724387169362]]"
"['HL_VR', 'HL_iVR']","[0.3, 0.7]","[45.0, 54.022918311805235]","['W6', 4.481843800360645, [1.4070504234772905]]","['Wp2', -14.494897962848045, [1.7613833004182673]]"
"['HL_VR', 'HL_iVR']","[0.3, 0.7]","[45.0, 72.01145915590261]","['W6', 5.734498224191365, [2.436559100491629]]","['Wp2', -14.494897962848045, [2.785653580095738]]"
"['HL_VR', 'HL_iVR']","[0.3, 0.7]","[45.0, 90.0]","['W6', 6.938465801203257, [2.9941891083413203]]","['Wp2', -14.494897962848045, [0.351002109179266]]"
"['HL_VR', 'HL_iVR']","[0.4, 0.6]","[45.0, 18.045836623610466]","['W1', 1.2848675790646926, [2.620391535170741]]","['Wp2', -12.70445565138829, [2.6132091304307625]]"
"['HL_VR', 'HL_iVR']","[0.4, 0.6]","[45.0, 36.03437746770785]","['W1', 2.3724583613430985, [2.4956434132382816]]","['Wp2', -12.704455651388294, [3.052964737892192]]"
"['HL_VR', 'HL_iVR']","[0.4, 0.6]","[45.0, 54.022918311805235]","['W6', 3.359266116910058, [2.4035546566168264]]","['Wp2', -12.704455651388294, [2.620624375495827]]"
"['HL_VR', 'HL_iVR']","[0.4, 0.6]","[45.0, 72.01145915590261]","['W5', 4.287767834009423, [2.571536119179858]]","['Wp2', -12.704455651388296, [1.8404613251207245]]"
"['HL_VR', 'HL_iVR']","[0.4, 0.6]","[45.0, 90.0]","['W5', 5.179803759795135, [2.1534385037391304]]","['Wp2', -12.704455651388297, [0.46137059050723894]]"
"['HL_VR', 'HL_iVR']","[0.5, 0.5]","[45.0, 18.045836623610466]","['W6', 0.9151140636292335, [1.5249801177753477]]","['Wp2', -10.787074618594563, [0.02624075316919678]]"
"['HL_VR', 'HL_iVR']","[0.5, 0.5]","[45.0, 36.03437746770785]","['W6', 1.6798840594999742, [0.23579066974059606]]","['Wp2', -10.787074618594563, [2.105759830581899]]"
"['HL_VR', 'HL_iVR']","[0.5, 0.5]","[45.0, 54.022918311805235]","['W6', 2.371038127291378, [3.1147445540634617]]","['Wp2', -10.787074618594563, [1.20297075487363]]"
"['HL_VR', 'HL_iVR']","[0.5, 0.5]","[45.0, 72.01145915590261]","['W5', 3.0205990355045724, [3.134782422969781]]","['Wp2', -10.787074618594568, [0.33208209723993126]]"
"['HL_VR', 'HL_iVR']","[0.5, 0.5]","[45.0, 90.0]","['W6', 3.644509764068847, [2.45134420748241]]","['Wp2', -10.787074618594566, [0.5598074638995917]]"
"['HL_VR', 'HD_VA']","[0.1, 0.9]","[45.0, 18.045836623610466]","['W2', 2.5838455870411097, [0.6015326432826169]]","['Wp2', -16.832378755192472, [2.469102282599108]]"
"['HL_VR', 'HD_VA']","[0.1, 0.9]","[45.0, 36.03437746770785]","['W2', 4.888456884774838, [1.1482642870379083]]","['Wp2', -16.300219017485396, [2.6919562544173266]]"
"['HL_VR', 'HD_VA']","[0.1, 0.9]","[45.0, 54.022918311805235]","['W2', 7.022653367975046, [0.8779791450543281]]","['Wp2', -15.921487471769707, [1.8513771314764782]]"
"['HL_VR', 'HD_VA']","[0.1, 0.9]","[45.0, 72.01145915590261]","['W2', 9.046130854072949, [2.191101181157936]]","['Wp2', -15.639885126396033, [1.6980740794338394]]"
"['HL_VR', 'HD_VA']","[0.1, 0.9]","[45.0, 90.0]","['W3', 10.951347980600987, [2.8297749844778464]]","['Wp2', -15.423035092903131, [3.046902305195091]]"
"['HL_VR', 'HD_VA']","[0.2, 0.8]","[45.0, 18.045836623610466]","['W2', 2.1337702658127555, [1.4328699001292724]]","['Wp2', -15.118650471426719, [2.627715355163212]]"
"['HL_VR', 'HD_VA']","[0.2, 0.8]","[45.0, 36.03437746770785]","['W1', 3.9999825648319454, [1.1729021244203666]]","['Wp2', -14.449513495364624, [1.0965560661455445]]"
"['HL_VR', 'HD_VA']","[0.2, 0.8]","[45.0, 54.022918311805235]","['W2', 5.713547497853784, [2.011951304852333]]","['Wp2', -13.983775604741854, [3.0874796508345006]]"
"['HL_VR', 'HD_VA']","[0.2, 0.8]","[45.0, 72.01145915590261]","['W2', 7.33254028393764, [0.05100346778714926]]","['Wp2', -13.643800376760094, [0.8367140317298167]]"
"['HL_VR', 'HD_VA']","[0.2, 0.8]","[45.0, 90.0]","['W2', 8.889785965624256, [1.7475887335356]]","['Wp2', -13.38590792006718, [2.321259559892826]]"
"['HL_VR', 'HD_VA']","[0.3, 0.7]","[45.0, 18.045836623610466]","['W1', 1.695569976330958, [2.9910210820417844]]","['Wp2', -13.22861315675059, [1.5127010548517053]]"
"['HL_VR', 'HD_VA']","[0.3, 0.7]","[45.0, 36.03437746770785]","['W2', 3.1527765836423685, [1.3530929196447188]]","['Wp2', -12.427333397924997, [2.2825063004502164]]"
"['HL_VR', 'HD_VA']","[0.3, 0.7]","[45.0, 54.022918311805235]","['W1', 4.481843800360647, [0.9967474777186681]]","['Wp2', -11.885928163011712, [1.1608947600350943]]"
"['HL_VR', 'HD_VA']","[0.3, 0.7]","[45.0, 72.01145915590261]","['W2', 5.7344982241913645, [2.010571127593218]]","['Wp2', -11.500050604946566, [2.633918722875159]]"
"['HL_VR', 'HD_VA']","[0.3, 0.7]","[45.0, 90.0]","['W1', 6.938465801203259, [0.9585229898752928]]","['Wp2', -11.212849195227173, [2.1055280584711933]]"
"['HL_VR', 'HD_VA']","[0.4, 0.6]","[45.0, 0.057295779513082325]","['W5', 0.014323944878268269, [0.6619599096154809]]","['Wp2', -12.698225111151753, [1.6704098229605093]]"
"['HL_VR', 'HD_VA']","[0.4, 0.6]","[45.0, 18.045836623610466]","['W1', 1.2848675790646937, [2.470097084155394]]","['Wp2', -11.188290473167624, [0.932498814061393]]"
"['HL_VR', 'HD_VA']","[0.4, 0.6]","[45.0, 36.03437746770785]","['W1', 2.3724583613430985, [2.2032525806188215]]","['Wp2', -10.273620846618446, [2.252930938868351]]"
"['HL_VR', 'HD_VA']","[0.4, 0.6]","[45.0, 54.022918311805235]","['W1', 3.3592661169100593, [1.0036194681159667]]","['Wp2', -9.679911644148707, [0.6498273812599884]]"
"['HL_VR', 'HD_VA']","[0.4, 0.6]","[45.0, 72.01145915590261]","['W2', 4.287767834009425, [1.0735404696515616]]","['Wp2', -9.269695494776123, [1.1503772277201365]]"
"['HL_VR', 'HD_VA']","[0.4, 0.6]","[45.0, 90.0]","['W1', 5.179803759795138, [1.793960973987898]]","['Wp2', -8.971567806422925, [1.2822997377255783]]"
"['HL_VR', 'HD_VA']","[0.5, 0.5]","[45.0, 18.045836623610466]","['W1', 0.915114063629235, [2.8483065009869195]]","['Wp2', -9.030223102706202, [2.27926050628495]]"
"['HL_VR', 'HD_VA']","[0.5, 0.5]","[45.0, 36.03437746770785]","['W2', 1.679884059499975, [0.9600942494819433]]","['Wp2', -8.041139578108101, [0.9036165379266451]]"
"['HL_VR', 'HD_VA']","[0.5, 0.5]","[45.0, 54.022918311805235]","['W1', 2.3710381272913805, [1.5259731975684063]]","['Wp2', -7.433662653255178, [2.986853657176417]]"
"['HL_VR', 'HD_VA']","[0.5, 0.5]","[45.0, 72.01145915590261]","['W1', 3.0205990355045733, [2.190330897768147]]","['Wp2', -7.030539227270543, [2.4920428221648945]]"
"['HL_VR', 'HD_VA']","[0.5, 0.5]","[45.0, 90.0]","['W1', 3.6445097640688493, [2.4149905343309457]]","['Wp2', -6.746075574021567, [0.05760550485991908]]"
"['HL_VR', 'HD_iVA']","[0.1, 0.9]","[45.0, 18.045836623610466]","['W6', 0.977511797398805, [1.719163046937005]]","['Wp2', -13.681638269620203, [0.6007678180829382]]"
"['HL_VR', 'HD_iVA']","[0.1, 0.9]","[45.0, 72.01145915590261]","['W3', 2.437572266690813, [0.353935049034966]]","['Wp3', -19.11515447197234, [2.1492477556154643]]"
"['HL_VR', 'HD_iVA']","[0.3, 0.7]","[45.0, 36.03437746770785]","['W6', 3.2050985386027797, [1.1778177603695246]]","['Wp2', -8.057654178702641, [1.0021425191187139]]"
"['HL_VR', 'HD_iVA']","[0.3, 0.7]","[45.0, 72.01145915590261]","['W3', 4.00255101857598, [1.9916959463840633]]","['Wp3', -14.529740332115011, [2.902001309585096]]"
"['HL_VR', 'HD_iVA']","[0.4, 0.6]","[45.0, 54.022918311805235]","['W1', 4.28428329568902, [1.3390155735658102]]","['Wp3', -7.702055959439183, [2.7042488190719602]]"
"['HL_VR', 'HD_iVA']","[0.4, 0.6]","[45.0, 90.0]","['W3', 4.897772174305846, [1.676502646911153]]","['Wp3', -16.538041917205465, [1.4373174483469402]]"
"['HL_VR', 'HA_VD']","[0.1, 0.9]","[45.0, 18.045836623610466]","['W1', 2.5838455870411097, [2.0263041174129572]]","['Wp2', -16.832378755192472, [0.577805817284386]]"
"['HL_VR', 'HA_VD']","[0.1, 0.9]","[45.0, 36.03437746770785]","['W1', 4.88845688477484, [1.3566898592066285]]","['Wp2', -16.3002190174854, [2.196242120955695]]"
"['HL_VR', 'HA_VD']","[0.1, 0.9]","[45.0, 54.022918311805235]","['W2', 7.02265336797505, [2.665077752198822]]","['Wp2', -15.921487471769705, [1.327658476056092]]"
"['HL_VR', 'HA_VD']","[0.1, 0.9]","[45.0, 72.01145915590261]","['W2', 9.046130854072949, [2.1048871636680757]]","['Wp2', -15.639885126396031, [2.896771972755163]]"
"['HL_VR', 'HA_VD']","[0.1, 0.9]","[45.0, 90.0]","['W3', 10.951347980600865, [2.3850511384186417]]","['Wp2', -15.423035092903126, [1.37086338868674]]"
"['HL_VR', 'HA_VD']","[0.2, 0.8]","[45.0, 18.045836623610466]","['W1', 2.1337702658127538, [1.13065370664871]]","['Wp2', -15.118650471426719, [1.0039955592927197]]"
"['HL_VR', 'HA_VD']","[0.2, 0.8]","[45.0, 36.03437746770785]","['W2', 3.9999825648319454, [0.008858679705153213]]","['Wp2', -14.44951349536462, [0.7426126327325456]]"
"['HL_VR', 'HA_VD']","[0.2, 0.8]","[45.0, 54.022918311805235]","['W1', 5.713547497853783, [2.9675240759793513]]","['Wp2', -13.98377560474186, [0.5345288279482716]]"
"['HL_VR', 'HA_VD']","[0.2, 0.8]","[45.0, 72.01145915590261]","['W1', 7.3325402839376315, [1.7099313739074213]]","['Wp2', -13.643800376760101, [1.357036239555251]]"
"['HL_VR', 'HA_VD']","[0.2, 0.8]","[45.0, 90.0]","['W1', 8.88978596562439, [1.3713477742696536]]","['Wp2', -13.385907920067186, [0.9818156308326417]]"
"['HL_VR', 'HA_VD']","[0.3, 0.7]","[45.0, 18.045836623610466]","['W1', 1.6955699763309593, [1.3542198538102355]]","['Wp2', -13.228613156750594, [0.8733101609061181]]"
"['HL_VR', 'HA_VD']","[0.3, 0.7]","[45.0, 36.03437746770785]","['W1', 3.1527765836423676, [2.5149648242756526]]","['Wp2', -12.427333397924992, [1.8028143804855874]]"
"['HL_VR', 'HA_VD']","[0.3, 0.7]","[45.0, 54.022918311805235]","['W1', 4.481843800360645, [2.5662972019715387]]","['Wp2', -11.88592816301171, [1.6484311282033846]]"
"['HL_VR', 'HA_VD']","[0.3, 0.7]","[45.0, 72.01145915590261]","['W2', 5.734498224191365, [1.7638886642039138]]","['Wp2', -11.500050604946567, [0.8791410748975315]]"
"['HL_VR', 'HA_VD']","[0.3, 0.7]","[45.0, 90.0]","['W1', 6.93846580120326, [1.7527533779050142]]","['Wp2', -11.212849195227168, [1.1776308122660617]]"
"['HL_VR', 'HA_VD']","[0.4, 0.6]","[45.0, 18.045836623610466]","['W1', 1.284867579064696, [2.633918722875159]]","['Wp2', -11.188290473167623, [0.48896563897387074]]"
"['HL_VR', 'HA_VD']","[0.4, 0.6]","[45.0, 36.03437746770785]","['W1', 2.3724583613430985, [3.1125585699596043]]","['Wp2', -10.273620846618453, [0.6407851830508288]]"
"['HL_VR', 'HA_VD']","[0.4, 0.6]","[45.0, 54.022918311805235]","['W2', 3.359266116910059, [1.0215268340502948]]","['Wp2', -9.679911644148701, [0.7952424459274137]]"
"['HL_VR', 'HA_VD']","[0.4, 0.6]","[45.0, 72.01145915590261]","['W1', 4.287767834009425, [2.0011099018492673]]","['Wp2', -9.26969549477612, [1.2563927675932163]]"
"['HL_VR', 'HA_VD']","[0.4, 0.6]","[45.0, 90.0]","['W2', 5.179803759795138, [2.599787859507687]]","['Wp2', -8.971567806422925, [2.2444488867736605]]"
"['HL_VR', 'HA_VD']","[0.5, 0.5]","[45.0, 18.045836623610466]","['W2', 0.9151140636292345, [1.9825436687058824]]","['Wp2', -9.030223102706184, [2.2906521633840446]]"
"['HL_VR', 'HA_VD']","[0.5, 0.5]","[45.0, 36.03437746770785]","['W1', 1.6798840594999747, [2.9990630400143066]]","['Wp2', -8.041139578108107, [1.793960973987898]]"
"['HL_VR', 'HA_VD']","[0.5, 0.5]","[45.0, 54.022918311805235]","['W1', 2.37103812729138, [1.901840090602066]]","['Wp2', -7.433662653255191, [0.2983562152073084]]"
"['HL_VR', 'HA_VD']","[0.5, 0.5]","[45.0, 72.01145915590261]","['W1', 3.020599035504574, [2.1687758097803203]]","['Wp2', -7.0305392272705385, [0.9675686383434221]]"
"['HL_VR', 'HA_VD']","[0.5, 0.5]","[45.0, 90.0]","['W1', 3.64450976406885, [0.9735904079444084]]","['Wp2', -6.746075574021554, [0.42640605594294806]]"
"['HL_VR', 'HA_iVD']","[0.1, 0.9]","[45.0, 36.03437746770785]","['W5', 1.951919981394509, [0.7328436825196027]]","['Wp2', -10.785099141031969, [0.8498894754917286]]"
"['HL_VR', 'HA_iVD']","[0.1, 0.9]","[45.0, 72.01145915590261]","['W3', 2.437572266690812, [0.9247786387489603]]","['Wp3', -19.11515447197234, [1.6360134741151964]]"
"['HL_VR', 'HA_iVD']","[0.1, 0.9]","[45.0, 90.0]","['W5', 4.875144533381626, [0.9828072353705097]]","['Wp3', -25.75141376862173, [0.042752647430049966]]"
"['HL_VR', 'HA_iVD']","[0.4, 0.6]","[45.0, 18.045836623610466]","['W5', 1.9640976994930837, [0.8686416239484918]]","['Wp2', -8.97024908576576, [0.11775253192508153]]"
"['HL_VR', 'HA_iVD']","[0.5, 0.5]","[45.0, 18.045836623610466]","['W2', 1.557210535416909, [0.3727039070716792]]","['Wp2', -7.18102742918717, [1.7659444308172323]]"
"['HL_VR', 'HA_iVD']","[0.5, 0.5]","[45.0, 54.022918311805235]","['W2', 3.003632893166689, [0.4440674919959661]]","['Wp3', -5.904141449712711, [0.40431455763901925]]"
"['HL_iVR', 'phi plus, phi minus']","[0.4, 0.6]","[45.0, 18.045836623610466]","['W2', 0.037078082599981466, [3.1104745925486124]]","['Wp1', -3.7789331995718087, [2.677586155454618]]"
"['HL_iVR', 'phi plus, phi minus']","[0.5, 0.5]","[45.0, 18.045836623610466]","['W2', 0.23914671304511925, [1.6181452409229051]]","['Wp1', -2.992351903879402, [0.7814810915487281]]"
"['HL_iVR', 'psi plus, psi minus']","[0.4, 0.6]","[45.0, 18.045836623610466]","['W1', 0.03707808259998169, [0.4970493573794595]]","['Wp1', -3.778933199571809, [0.4851586835714062]]"
"['HL_iVR', 'psi plus, psi minus']","[0.5, 0.5]","[45.0, 18.045836623610466]","['W1', 0.23914671304511947, [2.837028814494254]]","['Wp1', -2.9923519038794013, [1.9331829085376213]]"
"['HL_iVR', 'HR_VL']","[0.1, 0.9]","[45.0, 54.022918311805235]","['W1', 6.081500181209687, [1.8323768711642145]]","['Wp2', -2.863544838472616, [0.8940799444567797]]"
"['HL_iVR', 'HR_VL']","[0.1, 0.9]","[45.0, 72.01145915590261]","['W2', 6.2414928114546875, [1.486015289500286]]","['Wp2', -8.98165459259653, [1.8512632875321204]]"
"['HL_iVR', 'HR_VL']","[0.1, 0.9]","[45.0, 90.0]","['W2', 6.349852423280353, [0.8396144409228138]]","['Wp2', -15.423035092903085, [2.0484362636157214]]"
"['HL_iVR', 'HR_VL']","[0.2, 0.8]","[45.0, 54.022918311805235]","['W2', 4.973386508208561, [0.4722523731350841]]","['Wp2', -2.423795774914506, [0.21503144098299176]]"
"['HL_iVR', 'HR_VL']","[0.2, 0.8]","[45.0, 72.01145915590261]","['W1', 5.124976508363664, [0.6557794966449078]]","['Wp2', -7.713696660655277, [3.0410439855699325]]"
"['HL_iVR', 'HR_VL']","[0.2, 0.8]","[45.0, 90.0]","['W1', 5.2295277274926955, [0.4961871178208952]]","['Wp2', -13.385907920067186, [3.0053451696707145]]"
"['HL_iVR', 'HR_VL']","[0.3, 0.7]","[45.0, 54.022918311805235]","['W2', 3.918122038354345, [1.8943629318096629]]","['Wp2', -1.9734912467735384, [0.5001740828295282]]"
"['HL_iVR', 'HR_VL']","[0.3, 0.7]","[45.0, 72.01145915590261]","['W2', 4.051750189913992, [0.18655350473396143]]","['Wp2', -6.382182130820746, [1.0207667549367108]]"
"['HL_iVR', 'HR_VL']","[0.3, 0.7]","[45.0, 90.0]","['W1', 4.1453565076645535, [2.1913188947144637]]","['Wp2', -11.212849195227161, [0.2750831436256651]]"
"['HL_iVR', 'HR_VL']","[0.4, 0.6]","[45.0, 54.022918311805235]","['W2', 2.9471915351897335, [2.747751837870507]]","['Wp2', -1.5304958686170786, [0.41393335093096273]]"
"['HL_iVR', 'HR_VL']","[0.4, 0.6]","[45.0, 72.01145915590261]","['W1', 3.0567544899017296, [2.7688028944955976]]","['Wp2', -5.034896319425849, [0.17968691285325408]]"
