time (min),HH,VV,HH_err,VV_err
170,1529.3999999999999,,6.9862722534982975,
171,,1624.9666666666665,,7.155122485169483
172,1532.533333333333,,8.791763822527958,
173,,1621.8999999999999,,3.8271834726510536
174,1518.8333333333333,,9.956494251380747,
175,,1616.9333333333334,,3.811094914121716
176,1536.1000000000001,,6.591863671729479,
177,,1628.6666666666667,,6.194980046600443
178,1534.4333333333334,,7.171316321135045,
179,,1634.1333333333334,,7.09979655420569
180,1542.0999999999997,,8.513166273484867,
181,,1642.0,,9.161513703167905
182,1530.9000000000003,,5.737537218470423,
183,,1633.8999999999999,,6.08840427917419
184,1538.4333333333332,,5.877735769646143,
185,,1637.2333333333333,,5.363684471621276
186,1544.2,,9.177944577445803,
187,,1627.1999999999998,,4.512796619983353
188,1532.3333333333333,,4.992972839679588,
189,,1625.2333333333333,,11.251241906760535
190,1552.4666666666665,,8.839406717145161,
191,,1631.666666666667,,5.096316752758257
192,1538.8,,6.352532303472906,
193,,1633.3999999999999,,7.169193353044196
194,1542.8,,5.1370549280043,
195,,1627.4666666666665,,12.854329145380461
196,1552.4000000000003,,4.204124958498094,
197,,1624.8,,5.579486236802337
198,1540.3333333333333,,5.936029350032281,
199,,1616.8,,8.004998438475798
200,1537.3999999999999,,4.667904597711221,
201,,1633.1666666666667,,3.23539453201271
202,1550.1333333333332,,6.747575696335495,
203,,1641.5666666666666,,4.398610891835944
204,1538.3,,6.790728974123451,
205,,1631.0666666666666,,6.305694075815718
206,1536.1000000000001,,5.434641969194796,
207,,1635.3333333333333,,8.695694975740041
208,1531.5666666666666,,3.7314578622540906,
209,,1625.7666666666667,,10.563132952764432
210,1554.4333333333332,,4.593739701424589,
211,,1632.6666666666667,,10.63662436009553
212,1542.5,,9.145454244231585,
213,,1631.3999999999999,,10.182992356539083
214,1536.7666666666667,,7.278537704175974,
215,,1648.9666666666665,,7.206555657486064
216,1537.1666666666663,,8.84163132258094,
217,,1636.8,,7.199259221151383
218,1549.2666666666664,,6.657260030306113,
219,,1645.7666666666667,,8.317919077376121
220,1550.8999999999999,,5.486893474453467,
221,,1624.533333333333,,6.396387869554037
222,1544.3333333333333,,4.751607914988115,
